Confidence,Ymin,Xmin,Ymax,Xmax
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
59,60,221,480,394
0,0,0,0,0
0,0,0,0,0
78,4,384,472,607
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53,14,80,476,262
0,0,0,0,0
0,0,0,0,0
53,1,28,480,154
0,0,0,0,0
56,1,225,470,457
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
66,21,279,470,612
53,24,332,480,547
59,6,289,472,626
0,0,0,0,0
66,4,149,479,493
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397
53,2,196,466,397